,Unnamed: 0,precision_wn,recall_wn,precision_cn,recall_cn
830,830,1.0,1.0,1.0,1.0
831,831,1.0,1.0,1.0,1.0
832,832,1.0,1.0,1.0,1.0
833,833,1.0,0.3333333333333333,1.0,1.0
834,834,1.0,0.5,1.0,1.0
835,835,1.0,0.2,1.0,1.0
836,836,1.0,1.0,1.0,1.0
837,837,1.0,1.0,1.0,1.0
838,838,1.0,1.0,1.0,1.0
839,839,0.5,0.625,0.5,1.0
840,840,1.0,1.0,1.0,1.0
841,841,1.0,1.0,1.0,1.0
842,842,1.0,1.0,1.0,1.0
843,843,0.3333333333333333,1.0,0.3333333333333333,1.0
844,844,1.0,1.0,1.0,1.0
845,845,1.0,0.05263157894736842,1.0,1.0
846,846,1.0,0.25,1.0,1.0
847,847,1.0,1.0,1.0,1.0
848,848,1.0,0.5,1.0,1.0
849,849,1.0,1.0,1.0,1.0
850,850,1.0,1.0,1.0,1.0
851,851,1.0,0.14285714285714285,1.0,1.0
852,852,1.0,1.0,1.0,1.0
853,853,1.0,1.0,1.0,1.0
854,854,1.0,1.0,1.0,1.0
855,855,1.0,1.0,1.0,1.0
856,856,0.5,0.1625,0.5,1.0
857,857,1.0,1.0,1.0,1.0
858,858,1.0,0.045454545454545456,1.0,1.0
859,859,0.5,1.0,0.5,1.0
860,860,1.0,1.0,1.0,1.0
861,861,0.5,1.0,0.5,1.0
862,862,1.0,0.25,1.0,1.0
863,863,1.0,0.25,1.0,1.0
864,864,1.0,1.0,1.0,1.0
865,865,1.0,0.5,1.0,1.0
866,866,1.0,1.0,1.0,1.0
867,867,1.0,0.1,1.0,1.0
868,868,1.0,0.07142857142857142,1.0,1.0
869,869,1.0,1.0,1.0,1.0
870,870,1.0,1.0,1.0,1.0
871,871,1.0,1.0,1.0,1.0
872,872,1.0,0.3333333333333333,1.0,1.0
873,873,1.0,0.3333333333333333,1.0,1.0
874,874,1.0,1.0,1.0,1.0
875,875,1.0,1.0,1.0,1.0
876,876,1.0,0.5,1.0,1.0
877,877,1.0,0.5,1.0,1.0
878,878,1.0,0.2,1.0,1.0
879,879,1.0,1.0,1.0,1.0
880,880,1.0,1.0,1.0,1.0
881,881,1.0,1.0,1.0,1.0
882,882,1.0,1.0,1.0,1.0
883,883,1.0,1.0,1.0,1.0
884,884,1.0,1.0,1.0,1.0
885,885,1.0,1.0,1.0,1.0
886,886,1.0,1.0,1.0,1.0
887,887,1.0,1.0,1.0,1.0
888,888,1.0,1.0,1.0,1.0
889,889,1.0,1.0,1.0,1.0
890,890,1.0,1.0,1.0,1.0
891,891,1.0,0.5,1.0,1.0
892,892,1.0,1.0,1.0,1.0
893,893,1.0,1.0,1.0,1.0
894,894,1.0,1.0,1.0,1.0
895,895,1.0,1.0,1.0,1.0
896,896,1.0,1.0,1.0,1.0
897,897,1.0,1.0,1.0,1.0
898,898,1.0,0.1111111111111111,1.0,1.0
899,899,1.0,1.0,1.0,1.0
0,0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0
3,3,1.0,1.0,1.0,1.0
4,4,1.0,1.0,1.0,1.0
5,5,1.0,0.3333333333333333,1.0,1.0
6,6,1.0,1.0,1.0,1.0
7,7,1.0,1.0,1.0,1.0
8,8,1.0,0.16666666666666666,1.0,1.0
9,9,1.0,0.03571428571428571,1.0,1.0
10,10,1.0,1.0,1.0,1.0
11,11,1.0,1.0,1.0,1.0
12,12,1.0,1.0,1.0,1.0
13,13,1.0,0.2,1.0,1.0
14,14,1.0,1.0,1.0,1.0
15,15,1.0,0.1111111111111111,1.0,1.0
16,16,1.0,1.0,1.0,1.0
17,17,1.0,1.0,1.0,1.0
18,18,1.0,0.14285714285714285,1.0,1.0
19,19,1.0,0.25,1.0,1.0
20,20,1.0,1.0,1.0,1.0
21,21,1.0,1.0,1.0,1.0
22,22,0.5,1.0,0.5,1.0
23,23,1.0,0.2,1.0,1.0
24,24,1.0,0.25,1.0,1.0
25,25,1.0,0.5,1.0,1.0
26,26,1.0,1.0,1.0,1.0
27,27,1.0,0.16666666666666666,1.0,1.0
28,28,1.0,1.0,1.0,1.0
29,29,1.0,1.0,1.0,1.0
30,30,1.0,1.0,1.0,1.0
31,31,1.0,1.0,1.0,1.0
32,32,1.0,0.06666666666666668,1.0,1.0
33,33,1.0,1.0,1.0,1.0
34,34,1.0,0.07142857142857142,1.0,1.0
35,35,1.0,0.5,1.0,1.0
36,36,1.0,1.0,1.0,1.0
37,37,1.0,0.5,1.0,1.0
38,38,1.0,1.0,1.0,1.0
