,precision_wn,recall_wn,precision_cn,recall_cn
reply,0.2,0.75,0.5333333333333333,0.061068702290076333
conversation,0.06666666666666667,1.0,0.13333333333333333,0.016
sent,0.13333333333333333,0.1,0.2,0.1875
directly,0.2,0.23076923076923078,0.13333333333333333,0.04
blocked,0.06666666666666667,0.030303030303030304,0.06666666666666667,0.06666666666666667
messages,0.06666666666666667,0.2,0.06666666666666667,0.07692307692307693
answer,0.2,0.25,0.3333333333333333,0.033783783783783786
answering,0.26666666666666666,0.4444444444444444,0.2,0.2727272727272727
respond,0.2,0.75,0.2,0.036585365853658534
notification,0.06666666666666667,0.2,0.06666666666666667,0.041666666666666664
limit,0.08333333333333333,0.047619047619047616,0.08333333333333333,0.0041841004184100415
follow,0.08333333333333333,0.03571428571428571,0.16666666666666666,0.017699115044247787
favorites,0.08333333333333333,0.1111111111111111,0.08333333333333333,0.3333333333333333
account,0.08333333333333333,0.058823529411764705,0.08333333333333333,0.004524886877828055
instant,0.08333333333333333,0.05263157894736842,0.08333333333333333,0.016666666666666666
hacked,0.08333333333333333,0.14285714285714285,0.08333333333333333,0.3333333333333333
kindly,0.08333333333333333,0.14285714285714285,0.08333333333333333,0.0625
shout,0.08333333333333333,0.058823529411764705,0.08333333333333333,0.014285714285714285
mention,0.08333333333333333,0.06666666666666667,0.08333333333333333,0.015151515151515152
following,0.16666666666666666,0.05714285714285714,0.08333333333333333,0.024390243902439025
followed,0.16666666666666666,0.06896551724137931,0.16666666666666666,0.4
thirsty,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.04
theme,1.0,0.06666666666666667,1.0,0.009345794392523364
',0.2,1.0,0.2,1.0
;,0.2,1.0,0.2,1.0
!,0.2,1.0,0.2,1.0
.,0.2,1.0,0.2,0.00035829451809387314
'',0.2,1.0,0.2,1.0
reached,0.25,0.041666666666666664,0.25,0.08333333333333333
gained,0.25,0.038461538461538464,0.25,0.125
saved,0.25,0.045454545454545456,0.25,0.05
returned,0.25,0.038461538461538464,0.25,0.1
departing,0.5,0.047619047619047616,0.5,0.16666666666666666
arriving,0.5,0.14285714285714285,0.5,0.14285714285714285
purple,0.09523809523809523,0.16666666666666666,0.23809523809523808,0.04950495049504951
brown,0.047619047619047616,0.09090909090909091,0.09523809523809523,0.011834319526627219
orange,0.047619047619047616,0.16666666666666666,0.19047619047619047,0.029411764705882353
green,0.047619047619047616,0.03571428571428571,0.23809523809523808,0.0165016501650165
classic,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.03333333333333333
pink,0.047619047619047616,0.125,0.19047619047619047,0.04597701149425287
rose,0.047619047619047616,0.02857142857142857,0.23809523809523808,0.040983606557377046
gray,0.09523809523809523,0.1,0.2857142857142857,0.061855670103092786
iron,0.047619047619047616,0.125,0.14285714285714285,0.0022338049143708115
violet,0.09523809523809523,0.5,0.3333333333333333,0.12727272727272726
blue,0.09523809523809523,0.0425531914893617,0.5238095238095238,0.0421455938697318
